Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
"sendKeys(findTestObject(null), Keys.chord(ALT, DOWN))",Chrome 101.0.4951.67,,,2022-05-23 18:55:31,2022-05-23 18:55:31,0.296s,PASSED
"sendKeys(findTestObject(null), Keys.chord(ALT, DOWN))",Chrome 101.0.4951.67,,,2022-05-23 18:55:31,2022-05-23 18:55:31,0.316s,PASSED
"sendKeys(findTestObject(null), Keys.chord(ALT, DOWN))",Chrome 101.0.4951.67,,,2022-05-23 18:55:31,2022-05-23 18:55:32,0.311s,PASSED
"sendKeys(findTestObject(null), Keys.chord(ALT, DOWN))",Chrome 101.0.4951.67,,,2022-05-23 18:55:32,2022-05-23 18:55:32,0.314s,PASSED
"sendKeys(findTestObject(null), Keys.chord(ALT, DOWN))",Chrome 101.0.4951.67,,,2022-05-23 18:55:32,2022-05-23 18:55:32,0.308s,PASSED
"sendKeys(findTestObject(null), Keys.chord(ALT, DOWN))",Chrome 101.0.4951.67,,,2022-05-23 18:55:32,2022-05-23 18:55:33,0.307s,PASSED
"sendKeys(findTestObject(null), Keys.chord(ALT, DOWN))",Chrome 101.0.4951.67,,,2022-05-23 18:55:33,2022-05-23 18:55:33,0.303s,PASSED
"sendKeys(findTestObject(null), Keys.chord(ALT, DOWN))",Chrome 101.0.4951.67,,,2022-05-23 18:55:33,2022-05-23 18:55:33,0.300s,PASSED
"sendKeys(findTestObject(null), Keys.chord(ALT, DOWN))",Chrome 101.0.4951.67,,,2022-05-23 18:55:33,2022-05-23 18:55:33,0.301s,PASSED
"sendKeys(findTestObject(null), Keys.chord(ALT, DOWN))",Chrome 101.0.4951.67,,,2022-05-23 18:55:33,2022-05-23 18:55:34,0.298s,PASSED
"sendKeys(findTestObject(null), Keys.chord(ALT, DOWN))",Chrome 101.0.4951.67,,,2022-05-23 18:55:34,2022-05-23 18:55:34,0.300s,PASSED
"sendKeys(findTestObject(null), Keys.chord(ALT, DOWN))",Chrome 101.0.4951.67,,,2022-05-23 18:55:34,2022-05-23 18:55:34,0.296s,PASSED
"sendKeys(findTestObject(null), Keys.chord(ALT, DOWN))",Chrome 101.0.4951.67,,,2022-05-23 18:55:34,2022-05-23 18:55:35,0.307s,PASSED
"sendKeys(findTestObject(null), Keys.chord(ALT, DOWN))",Chrome 101.0.4951.67,,,2022-05-23 18:55:35,2022-05-23 18:55:35,0.299s,PASSED
"sendKeys(findTestObject(null), Keys.chord(ALT, DOWN))",Chrome 101.0.4951.67,,,2022-05-23 18:55:35,2022-05-23 18:55:35,0.310s,PASSED
"sendKeys(findTestObject(null), Keys.chord(ALT, DOWN))",Chrome 101.0.4951.67,,,2022-05-23 18:55:35,2022-05-23 18:55:36,0.298s,PASSED
"sendKeys(findTestObject(null), Keys.chord(ALT, DOWN))",Chrome 101.0.4951.67,,,2022-05-23 18:55:36,2022-05-23 18:55:36,0.308s,PASSED
"sendKeys(findTestObject(null), Keys.chord(ALT, DOWN))",Chrome 101.0.4951.67,,,2022-05-23 18:55:36,2022-05-23 18:55:36,0.295s,PASSED
"sendKeys(findTestObject(null), Keys.chord(ALT, DOWN))",Chrome 101.0.4951.67,,,2022-05-23 18:55:36,2022-05-23 18:55:37,0.317s,PASSED
"sendKeys(findTestObject(null), Keys.chord(ALT, DOWN))",Chrome 101.0.4951.67,,,2022-05-23 18:55:37,2022-05-23 18:55:37,0.313s,PASSED
"sendKeys(findTestObject(null), Keys.chord(ALT, DOWN))",Chrome 101.0.4951.67,,,2022-05-23 18:55:37,2022-05-23 18:55:37,0.305s,PASSED
"sendKeys(findTestObject(null), Keys.chord(ALT, DOWN))",Chrome 101.0.4951.67,,,2022-05-23 18:55:37,2022-05-23 18:55:37,0.298s,PASSED
"sendKeys(findTestObject(null), Keys.chord(ALT, DOWN))",Chrome 101.0.4951.67,,,2022-05-23 18:55:37,2022-05-23 18:55:38,0.299s,PASSED
"sendKeys(findTestObject(null), Keys.chord(ALT, DOWN))",Chrome 101.0.4951.67,,,2022-05-23 18:55:38,2022-05-23 18:55:38,0.301s,PASSED
"sendKeys(findTestObject(null), Keys.chord(ALT, DOWN))",Chrome 101.0.4951.67,,,2022-05-23 18:55:38,2022-05-23 18:55:38,0.292s,PASSED
"sendKeys(findTestObject(null), Keys.chord(ALT, DOWN))",Chrome 101.0.4951.67,,,2022-05-23 18:55:38,2022-05-23 18:55:39,0.294s,PASSED
"sendKeys(findTestObject(null), Keys.chord(ALT, DOWN))",Chrome 101.0.4951.67,,,2022-05-23 18:55:39,2022-05-23 18:55:39,0.301s,PASSED
"sendKeys(findTestObject(null), Keys.chord(ALT, DOWN))",Chrome 101.0.4951.67,,,2022-05-23 18:55:39,2022-05-23 18:55:39,0.297s,PASSED
"sendKeys(findTestObject(null), Keys.chord(ALT, DOWN))",Chrome 101.0.4951.67,,,2022-05-23 18:55:39,2022-05-23 18:55:40,0.322s,PASSED
"click(findTestObject(""Object Repository/Page_Daftar Sebagai Pemberi Dana  ALAMI Pee_40e437/input_Saya tertarik update info terbaru ALA_1ed3da""))",Chrome 101.0.4951.67,,,2022-05-23 18:55:40,2022-05-23 18:55:40,0.409s,PASSED
"click(findTestObject(""Object Repository/Page_Daftar Sebagai Pemberi Dana  ALAMI Pee_40e437/input_Saya sudah membaca dan setuju dengan__c3b002""))",Chrome 101.0.4951.67,,,2022-05-23 18:55:40,2022-05-23 18:55:40,0.414s,PASSED
"click(findTestObject(""Object Repository/Page_Daftar Sebagai Pemberi Dana  ALAMI Pee_40e437/button_Lanjutkan_1""))",Chrome 101.0.4951.67,,,2022-05-23 18:55:40,2022-05-23 18:55:41,0.514s,PASSED
,,,,,,,
Test Cases/activation,Chrome 101.0.4951.67,,,2022-05-23 18:55:41,2022-05-23 18:56:01,19.676s,PASSED
"openBrowser("""")",Chrome 101.0.4951.67,,,2022-05-23 18:55:41,2022-05-23 18:55:44,2.035s,PASSED
